segment,curve,slope
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,4,0
33,4,0
34,4,0
35,4,0
36,4,0
37,4,0
38,4,0
39,4,0
40,3,0
41,2,0
42,1,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,-4,0
55,-4,0
56,-4,0
57,-4,0
58,-4,0
59,-4,0
60,-4,0
61,-4,0
62,-3,0
63,-2,0
64,-1,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,-4,0
77,-4,0
78,-4,0
79,-4,0
80,-4,0
81,-4,0
82,-4,0
83,-4,0
84,-4,0
85,-4,0
86,-4,0
87,-4,0
88,-4,0
89,-4,0
90,-4,0
91,-4,0
92,-3,0
93,-2,0
94,-1,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,4,0
121,4,0
122,4,0
123,4,0
124,4,0
125,4,0
126,4,0
127,4,0
128,4,0
129,4,0
130,4,0
131,4,0
132,4,0
133,4,0
134,4,0
135,4,0
136,3,0
137,2,0
138,1,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,-4,0
145,-4,0
146,-4,0
147,-4,0
148,-4,0
149,-4,0
150,-4,0
151,-4,0
152,-3,0
153,-2,0
154,-1,0
155,0,0
156,0,0
157,0,0
158,0,0
159,0,0
160,0,0
161,0,0
162,4,0
163,4,0
164,4,0
165,4,0
166,4,0
167,4,0
168,4,0
169,4,0
170,4,0
171,4,0
172,3,0
173,2,0
174,1,0
175,0,0
176,-4,0
177,-4,0
178,-4,0
179,-4,0
180,-4,0
181,-4,0
182,-4,0
183,-4,0
184,-4,0
185,-4,0
186,-4,0
187,-4,0
188,-3,0
189,-2,0
190,-1,0
191,0,0
192,0,0
193,0,0
194,4,0
195,4,0
196,4,0
197,4,0
198,4,0
199,4,0
200,4,0
201,4,0
202,4,0
203,4,0
204,4,0
205,4,0
206,3,0
207,2,0
208,1,0
209,0,0
210,0,0
211,0,0
212,0,0
213,0,0
214,0,0
215,0,0
216,0,0
217,0,0
218,0,0
219,0,0
220,0,0
221,0,0
222,0,2
223,0,2
224,0,0
225,0,0
226,0,-2
227,0,-2
228,0,-2
229,0,-2
230,0,2
231,0,2
232,0,0
233,0,0
234,0,0
235,0,0
236,0,0
237,0,0
238,0,0
239,0,0
240,0,0
241,0,0
242,0,0
243,0,0
244,0,0
245,-4,0
246,-4,0
247,-4,0
248,-4,0
249,-4,0
250,-4,0
251,-4,0
252,-4,0
253,-3,0
254,-2,0
255,-1,0
256,0,0
257,0,0
258,0,1
259,0,1
260,0,1
261,0,1
262,0,0
263,0,0
264,0,0
265,5,0
266,5,0
267,5,0
268,5,0
269,5,0
270,5,0
271,5,0
272,5,0
273,4,0
274,3,0
275,2,0
276,1,0
277,0,0
278,0,0
279,-6,0
280,-6,0
281,-6,0
282,-6,0
283,-6,0
284,-6,0
285,-6,0
286,-6,0
287,-5,-1
288,-4,-1
289,-3,-1
290,-2,-1
291,-1,0
292,0,0
293,0,0
294,0,0
295,0,0
296,0,0
297,0,0
298,0,0
299,-4,0
300,-4,0
301,-4,0
302,-4,0
303,-3,0
304,-2,-1
305,-1,-1
306,0,-1
307,0,-1
308,0,0
309,0,0
310,0,0
311,4,0
312,4,0
313,4,0
314,4,0
315,4,0
316,4,0
317,4,0
318,4,0
319,4,0
320,4,0
321,4,0
322,4,0
323,4,0
324,4,0
325,3,0
326,2,1
327,1,1
328,0,1
329,0,1
330,0,0
331,0,0
332,0,0
333,0,0
334,0,0
335,0,0
336,0,0
337,0,0
338,4,0
339,4,0
340,4,0
341,4,0
342,4,0
343,4,0
344,4,0
345,4,0
346,2,0
347,0,0
348,-4,0
349,-4,0
350,-4,0
351,-4,0
352,-4,0
353,-4,0
354,-4,0
355,-4,0
356,-2,0
357,0,0
358,4,0
359,4,0
360,4,0
361,4,0
362,4,0
363,4,0
364,4,0
365,4,0
366,3,0
367,2,0
368,1,0
369,0,0
370,0,0
371,0,0
372,0,0
373,0,0
374,0,0
375,0,0
376,0,0
377,0,0
378,0,0
379,0,0
380,0,0
381,0,0
382,0,0
383,0,0
384,0,-1
385,0,-1
386,0,-1
387,0,-1
388,0,0
389,0,0
390,4,0
391,4,0
392,4,0
393,4,0
394,4,0
395,4,0
396,2,0
397,0,0
398,-4,0
399,-4,0
400,-4,0
401,-4,0
402,-4,0
403,-4,0
404,-2,0
405,0,0
406,4,0
407,4,0
408,4,0
409,4,0
410,4,0
411,4,0
412,4,0
413,4,0
414,4,0
415,4,0
416,4,1
417,4,1
418,4,1
419,4,1
420,3,0
421,2,0
422,1,0
423,0,0
424,0,0
425,0,0
426,0,0
427,0,0
428,0,0
429,0,0
430,0,0
431,0,0
432,0,0
433,0,-2
434,0,-2
435,0,2
436,0,2
437,0,2
438,0,2
439,0,0
440,0,0
441,0,-2
442,0,-2
443,0,0
444,0,0
445,0,0
446,0,0
447,0,0
448,0,0
449,0,0
450,0,0
451,0,0
452,0,0
453,0,0
454,0,0
455,0,0
456,0,-2
457,0,-2
458,0,-2
459,0,-2
460,0,0
461,0,0
462,0,0
463,0,0
464,0,2
465,0,2
466,0,2
467,0,2
468,0,0
469,0,0
470,0,0
471,0,0
472,0,0
473,0,0
474,0,0
475,0,0
476,0,0
477,0,0
478,0,0
479,0,0
480,0,0
481,0,0
482,0,0
483,0,0
484,0,0
485,0,0
486,0,0
487,0,0
488,0,0
489,0,0
490,0,0
491,0,0
492,0,0
493,0,0
494,0,2
495,0,2
496,0,-2
497,0,-2
498,0,0
499,0,0
500,0,-2
501,0,-2
502,0,0
503,0,0
504,0,2
505,0,2
506,0,2
507,0,2
508,0,-2
509,0,-2
510,0,0
511,0,0
512,0,0
513,0,0
514,0,2
515,0,2
516,0,-2
517,0,-2
518,0,0
519,0,0
520,0,0
521,0,0
522,-4,0
523,-4,0
524,-4,0
525,-4,0
526,-4,0
527,-4,0
528,-4,0
529,-4,0
530,-4,1
531,-4,1
532,-4,1
533,-4,1
534,-4,1
535,-4,1
536,-4,1
537,-4,1
538,-3,0
539,-2,0
540,-1,0
541,0,0
542,0,-4
543,0,-4
544,0,-4
